RowID,Diameter(cm),Height(cm),Date,Location,Species,Browsed,Coordinates,Notes,CanopyScore,Browsed_raw,Browsed_norm,height_cm,diam_cm,canopy_score,LifeStage,Species_code,oak_group,Site
24,,20,8/?/24,W2,ACSA,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,ACSA,non_oak,Nature Park
25,,40,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,OSVI,non_oak,Nature Park
26,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,SAAL,non_oak,Nature Park
27,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,SAAL,non_oak,Nature Park
28,,130,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,130.0,,,Seedling,OSVI,non_oak,Nature Park
29,,140,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,140.0,,,Seedling,SAAL,non_oak,Nature Park
30,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,QURU,red_oak,Nature Park
31,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,QURU,red_oak,Nature Park
32,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park
33,,50,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Seedling,OSVI,non_oak,Nature Park
34,,50,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Seedling,LITU,non_oak,Nature Park
35,,40,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,LITU,non_oak,Nature Park
36,,50,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Seedling,LITU,non_oak,Nature Park
37,,30,8/?/24,W2,ASCA,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,ASCA,non_oak,Nature Park
38,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,QURU,red_oak,Nature Park
39,,40,8/?/24,W2,TIAM,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,TIAM,non_oak,Nature Park
40,,40,8/?/24,W2,QUMU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,QUMU,white_oak,Nature Park
41,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,QURU,red_oak,Nature Park
42,,40,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,QURU,red_oak,Nature Park
43,,40,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,QURU,red_oak,Nature Park
44,,130,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,130.0,,,Seedling,SAAL,non_oak,Nature Park
45,,600,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,600.0,,,Sapling,SAAL,non_oak,Nature Park
46,,130,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,130.0,,,Seedling,SAAL,non_oak,Nature Park
47,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,OSVI,non_oak,Nature Park
48,,60,8/?/24,W2,TIAM,Unknown,Unknown,|,,Unknown,Unknown,60.0,,,Seedling,TIAM,non_oak,Nature Park
49,,40,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,SAAL,non_oak,Nature Park
50,,35,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,35.0,,,Seedling,QURU,red_oak,Nature Park
51,,180,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,180.0,,,Seedling,OSVI,non_oak,Nature Park
52,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park
53,,80,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,80.0,,,Seedling,SAAL,non_oak,Nature Park
54,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,OSVI,non_oak,Nature Park
55,,50,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Seedling,SAAL,non_oak,Nature Park
56,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,SAAL,non_oak,Nature Park
57,,60,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,60.0,,,Seedling,SAAL,non_oak,Nature Park
58,,30,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,SAAL,non_oak,Nature Park
59,,25,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,SAAL,non_oak,Nature Park
60,,120,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,120.0,,,Seedling,OSVI,non_oak,Nature Park
61,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park
62,,60,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,60.0,,,Seedling,OSVI,non_oak,Nature Park
63,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,OSVI,non_oak,Nature Park
64,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park
65,,15,8/?/24,W2,CECA,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,CECA,non_oak,Nature Park
66,,30,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,OSVI,non_oak,Nature Park
67,,40,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Seedling,OSVI,non_oak,Nature Park
68,,25,8/?/24,W2,QUMU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QUMU,white_oak,Nature Park
69,,40,8/?/24,W2,CECA,Unknown,Unknown, ↓ ,,Unknown,Unknown,40.0,,,Seedling,CECA,non_oak,Nature Park
70,,20,8/?/24,W2,QURU,Unknown,Unknown,"Same transect, opposite side of trail",,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park
71,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
72,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
73,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
74,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park
75,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,QURU,red_oak,Nature Park
76,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park
77,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park
78,,5,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,5.0,,,Seedling,QURU,red_oak,Nature Park
79,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
80,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
81,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park
82,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park
83,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,QURU,red_oak,Nature Park
84,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park
85,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park
86,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park
87,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park
88,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
89,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
90,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park
91,,25,8/?/24,W2,QURU,Unknown,Unknown,↓,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
92,,30,?/?/24,?,R,B,Unknown,,,B,Browsed,30.0,,,Seedling,R,red_oak,Nature Park
93,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
94,,>200,?/?/25,?,R,B,Unknown,,,B,Browsed,,,,Unknown,R,red_oak,Nature Park
95,,>200,?/?/24,?,R,B,Unknown,,,B,Browsed,,,,Unknown,R,red_oak,Nature Park
96,,25,?/?/24,?,R,N,Unknown,,,N,Not browsed,25.0,,,Seedling,R,red_oak,Nature Park
97,,30,?/?/24,?,R,B,Unknown,,,B,Browsed,30.0,,,Seedling,R,red_oak,Nature Park
98,,10,?/?/24,?,R,B,Unknown,,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park
99,,30,?/?/24,?,R,B,Unknown,,,B,Browsed,30.0,,,Seedling,R,red_oak,Nature Park
100,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
101,,5,?/?/24,?,R,N,Unknown,,,N,Not browsed,5.0,,,Seedling,R,red_oak,Nature Park
102,,5,?/?/24,?,R,B,Unknown,,,B,Browsed,5.0,,,Seedling,R,red_oak,Nature Park
103,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park
104,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park
105,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park
106,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park
107,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
108,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
109,,15,?/?/24,?,R,N,Unknown,"""Across trail from end of last transect""",,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park
110,,10,?/?/24,?,R,B,Unknown,|,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park
111,,5,?/?/24,?,R,B,Unknown,|,,B,Browsed,5.0,,,Seedling,R,red_oak,Nature Park
112,,9,?/?/24,?,R,N,Unknown,|,,N,Not browsed,9.0,,,Seedling,R,red_oak,Nature Park
113,,10,?/?/24,?,R,B,Unknown,|,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park
114,,10,?/?/24,?,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park
115,,5,?/?/24,?,R,N,Unknown,↓,,N,Not browsed,5.0,,,Seedling,R,red_oak,Nature Park
116,,50,?/?/24,?,QUVE,B,Unknown,"""QUVE Check""",,B,Browsed,50.0,,,Seedling,QUVE,red_oak,Nature Park
117,,45,?/?/24,?,QUVE,N,Unknown,|,,N,Not browsed,45.0,,,Seedling,QUVE,red_oak,Nature Park
118,,50,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,50.0,,,Seedling,QUVE,red_oak,Nature Park
119,,45,?/?/24,?,QUVE,N,Unknown,|,,N,Not browsed,45.0,,,Seedling,QUVE,red_oak,Nature Park
120,,35,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,35.0,,,Seedling,QUVE,red_oak,Nature Park
121,,40,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,40.0,,,Seedling,QUVE,red_oak,Nature Park
122,,35,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,35.0,,,Seedling,QUVE,red_oak,Nature Park
123,,40,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,40.0,,,Seedling,QUVE,red_oak,Nature Park
124,,45,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,45.0,,,Seedling,QUVE,red_oak,Nature Park
125,,35,?/?/24,?,QUVE,B,Unknown,↓,,B,Browsed,35.0,,,Seedling,QUVE,red_oak,Nature Park
126,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
127,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
128,,20,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park
129,,15,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park
130,,15,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park
131,,30,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,30.0,,,Seedling,R,red_oak,Nature Park
132,,25,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,25.0,,,Seedling,R,red_oak,Nature Park
133,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
134,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
135,,15,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park
136,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
137,,30,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,30.0,,,Seedling,R,red_oak,Nature Park
138,,20,2024-09-04 00:00:00,W4,R,N,Unknown,"Top of hill, N to S",,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park
139,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
140,,11,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,11.0,,,Seedling,R,red_oak,Nature Park
141,,21,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,21.0,,,Seedling,R,red_oak,Nature Park
142,,14,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,14.0,,,Seedling,R,red_oak,Nature Park
143,,3,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,3.0,,,Seedling,R,red_oak,Nature Park
144,,9,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,9.0,,,Seedling,R,red_oak,Nature Park
145,,20,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park
146,,8,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,8.0,,,Seedling,R,red_oak,Nature Park
147,,17,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,17.0,,,Seedling,R,red_oak,Nature Park
148,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,12.0,,,Seedling,R,red_oak,Nature Park
149,,12,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,12.0,,,Seedling,R,red_oak,Nature Park
150,,20,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park
151,,11,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,11.0,,,Seedling,R,red_oak,Nature Park
152,,14,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,14.0,,,Seedling,R,red_oak,Nature Park
153,,17,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,17.0,,,Seedling,R,red_oak,Nature Park
154,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
155,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park
156,,17,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,17.0,,,Seedling,R,red_oak,Nature Park
157,,13,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,13.0,,,Seedling,R,red_oak,Nature Park
158,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park
159,,25,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,25.0,,,Seedling,R,red_oak,Nature Park
160,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park
161,,18,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,18.0,,,Seedling,R,red_oak,Nature Park
162,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,12.0,,,Seedling,R,red_oak,Nature Park
163,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,12.0,,,Seedling,R,red_oak,Nature Park
164,,10,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park
165,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park
166,,14,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,14.0,,,Seedling,R,red_oak,Nature Park
167,,15,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park
168,,10,2024-09-15 00:00:00,Fern Station,W,N,Unknown,Transect 1,,N,Not browsed,10.0,,,Seedling,W,white_oak,Fern Station
169,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
170,,7,2024-09-15 00:00:00,Fern Station,W,N,Unknown,|,,N,Not browsed,7.0,,,Seedling,W,white_oak,Fern Station
171,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
172,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
173,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
174,,18,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,18.0,,,Seedling,R,red_oak,Fern Station
175,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
176,,15,2024-09-15 00:00:00,Fern Station,W,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,W,white_oak,Fern Station
177,,10,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,10.0,,,Seedling,R,red_oak,Fern Station
178,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
179,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
180,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
181,,15,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,15.0,,,Seedling,R,red_oak,Fern Station
182,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
183,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
184,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
185,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
186,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
187,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
188,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
189,,25,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,25.0,,,Seedling,R,red_oak,Fern Station
190,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
191,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
192,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
193,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
194,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
195,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
196,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
197,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
198,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
199,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
200,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
201,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
202,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
203,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
204,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
205,,25,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,25.0,,,Seedling,R,red_oak,Fern Station
206,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station
207,,15,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,15.0,,,Seedling,R,red_oak,Fern Station
208,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station
209,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station
