RowID,Diameter(cm),Height(cm),Date,Location,Species,Browsed,Coordinates,Notes,CanopyScore,Browsed_raw,Browsed_norm,height_cm,diam_cm,canopy_score,LifeStage,Species_code,oak_group,Site,height_class,Lat,Lon
29,,140,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,140.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
30,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
31,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
32,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
33,,50,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Sapling,OSVI,non_oak,Nature Park,30–60,,
34,,50,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Sapling,LITU,non_oak,Nature Park,30–60,,
35,,40,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,LITU,non_oak,Nature Park,30–60,,
36,,50,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Sapling,LITU,non_oak,Nature Park,30–60,,
37,,30,8/?/24,W2,ASCA,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,ASCA,non_oak,Nature Park,30–60,,
38,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
39,,40,8/?/24,W2,TIAM,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,TIAM,non_oak,Nature Park,30–60,,
40,,40,8/?/24,W2,QUMU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,QUMU,white_oak,Nature Park,30–60,,
41,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
42,,40,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
43,,40,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
44,,130,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,130.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
45,,600,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,600.0,,,Juvenile,SAAL,non_oak,Nature Park,200+,,
46,,130,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,130.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
47,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
48,,60,8/?/24,W2,TIAM,Unknown,Unknown,|,,Unknown,Unknown,60.0,,,Sapling,TIAM,non_oak,Nature Park,60–100,,
49,,40,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
50,,35,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,35.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
51,,180,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,180.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
52,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
53,,80,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,80.0,,,Sapling,SAAL,non_oak,Nature Park,60–100,,
54,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
55,,50,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
56,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
57,,60,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,60.0,,,Sapling,SAAL,non_oak,Nature Park,60–100,,
58,,30,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
59,,25,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,SAAL,non_oak,Nature Park,10–30,,
60,,120,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,120.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
61,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
62,,60,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,60.0,,,Sapling,OSVI,non_oak,Nature Park,60–100,,
63,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
64,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
65,,15,8/?/24,W2,CECA,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,CECA,non_oak,Nature Park,10–30,,
66,,30,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,OSVI,non_oak,Nature Park,30–60,,
67,,40,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,OSVI,non_oak,Nature Park,30–60,,
68,,25,8/?/24,W2,QUMU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QUMU,white_oak,Nature Park,10–30,,
69,,40,8/?/24,W2,CECA,Unknown,Unknown, ↓ ,,Unknown,Unknown,40.0,,,Sapling,CECA,non_oak,Nature Park,30–60,,
70,,20,8/?/24,W2,QURU,Unknown,Unknown,"Same transect, opposite side of trail",,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
71,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
72,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
73,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
74,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
75,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
76,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
77,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
78,,5,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,5.0,,,Seedling,QURU,red_oak,Nature Park,<10,,
79,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
80,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
81,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
82,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
83,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,QURU,red_oak,Nature Park,30–60,,
84,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
85,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
86,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
87,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
88,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
89,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
90,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
91,,25,8/?/24,W2,QURU,Unknown,Unknown,↓,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
92,,30,?/?/24,?,R,B,Unknown,,,B,Browsed,30.0,,,Sapling,R,red_oak,Nature Park,30–60,,
93,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
94,,>200,?/?/25,?,R,B,Unknown,,,B,Browsed,,,,Unknown,R,red_oak,Nature Park,,,
95,,>200,?/?/24,?,R,B,Unknown,,,B,Browsed,,,,Unknown,R,red_oak,Nature Park,,,
96,,25,?/?/24,?,R,N,Unknown,,,N,Not browsed,25.0,,,Seedling,R,red_oak,Nature Park,10–30,,
97,,30,?/?/24,?,R,B,Unknown,,,B,Browsed,30.0,,,Sapling,R,red_oak,Nature Park,30–60,,
98,,10,?/?/24,?,R,B,Unknown,,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
99,,30,?/?/24,?,R,B,Unknown,,,B,Browsed,30.0,,,Sapling,R,red_oak,Nature Park,30–60,,
100,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
101,,5,?/?/24,?,R,N,Unknown,,,N,Not browsed,5.0,,,Seedling,R,red_oak,Nature Park,<10,,
102,,5,?/?/24,?,R,B,Unknown,,,B,Browsed,5.0,,,Seedling,R,red_oak,Nature Park,<10,,
103,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
104,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
105,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
106,,15,?/?/24,?,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
107,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
108,,20,?/?/24,?,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
109,,15,?/?/24,?,R,N,Unknown,"""Across trail from end of last transect""",,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
110,,10,?/?/24,?,R,B,Unknown,|,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
111,,5,?/?/24,?,R,B,Unknown,|,,B,Browsed,5.0,,,Seedling,R,red_oak,Nature Park,<10,,
112,,9,?/?/24,?,R,N,Unknown,|,,N,Not browsed,9.0,,,Seedling,R,red_oak,Nature Park,<10,,
113,,10,?/?/24,?,R,B,Unknown,|,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
114,,10,?/?/24,?,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
115,,5,?/?/24,?,R,N,Unknown,↓,,N,Not browsed,5.0,,,Seedling,R,red_oak,Nature Park,<10,,
116,,50,?/?/24,?,QUVE,B,Unknown,"""QUVE Check""",,B,Browsed,50.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
117,,45,?/?/24,?,QUVE,N,Unknown,|,,N,Not browsed,45.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
118,,50,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,50.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
119,,45,?/?/24,?,QUVE,N,Unknown,|,,N,Not browsed,45.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
120,,35,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,35.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
121,,40,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,40.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
122,,35,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,35.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
123,,40,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,40.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
124,,45,?/?/24,?,QUVE,B,Unknown,|,,B,Browsed,45.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
125,,35,?/?/24,?,QUVE,B,Unknown,↓,,B,Browsed,35.0,,,Sapling,QUVE,red_oak,Nature Park,30–60,,
126,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
127,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
128,,20,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
129,,15,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
130,,15,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
131,,30,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,30.0,,,Sapling,R,red_oak,Nature Park,30–60,,
132,,25,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,25.0,,,Seedling,R,red_oak,Nature Park,10–30,,
133,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
134,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
135,,15,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
136,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
137,,30,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,Browsed,30.0,,,Sapling,R,red_oak,Nature Park,30–60,,
138,,20,2024-09-04 00:00:00,W4,R,N,Unknown,"Top of hill, N to S",,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
139,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
140,,11,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,11.0,,,Seedling,R,red_oak,Nature Park,10–30,,
141,,21,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,21.0,,,Seedling,R,red_oak,Nature Park,10–30,,
142,,14,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,14.0,,,Seedling,R,red_oak,Nature Park,10–30,,
143,,3,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,3.0,,,Seedling,R,red_oak,Nature Park,<10,,
144,,9,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,9.0,,,Seedling,R,red_oak,Nature Park,<10,,
145,,20,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
146,,8,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,8.0,,,Seedling,R,red_oak,Nature Park,<10,,
147,,17,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,17.0,,,Seedling,R,red_oak,Nature Park,10–30,,
148,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,12.0,,,Seedling,R,red_oak,Nature Park,10–30,,
149,,12,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,12.0,,,Seedling,R,red_oak,Nature Park,10–30,,
150,,20,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
151,,11,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,11.0,,,Seedling,R,red_oak,Nature Park,10–30,,
152,,14,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,14.0,,,Seedling,R,red_oak,Nature Park,10–30,,
153,,17,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,17.0,,,Seedling,R,red_oak,Nature Park,10–30,,
154,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
155,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
156,,17,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,17.0,,,Seedling,R,red_oak,Nature Park,10–30,,
157,,13,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,13.0,,,Seedling,R,red_oak,Nature Park,10–30,,
158,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,20.0,,,Seedling,R,red_oak,Nature Park,10–30,,
159,,25,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,25.0,,,Seedling,R,red_oak,Nature Park,10–30,,
160,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
161,,18,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,18.0,,,Seedling,R,red_oak,Nature Park,10–30,,
162,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,12.0,,,Seedling,R,red_oak,Nature Park,10–30,,
163,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,12.0,,,Seedling,R,red_oak,Nature Park,10–30,,
164,,10,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
165,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,10.0,,,Seedling,R,red_oak,Nature Park,10–30,,
166,,14,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,Browsed,14.0,,,Seedling,R,red_oak,Nature Park,10–30,,
167,,15,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,Not browsed,15.0,,,Seedling,R,red_oak,Nature Park,10–30,,
168,,10,2024-09-15 00:00:00,Fern Station,W,N,Unknown,Transect 1,,N,Not browsed,10.0,,,Seedling,W,white_oak,Fern Station,10–30,,
169,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
170,,7,2024-09-15 00:00:00,Fern Station,W,N,Unknown,|,,N,Not browsed,7.0,,,Seedling,W,white_oak,Fern Station,<10,,
171,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
172,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
173,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station,10–30,,
174,,18,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,18.0,,,Seedling,R,red_oak,Fern Station,10–30,,
175,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
176,,15,2024-09-15 00:00:00,Fern Station,W,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,W,white_oak,Fern Station,10–30,,
177,,10,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
178,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
179,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
180,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station,10–30,,
181,,15,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
182,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
183,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
184,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
185,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station,10–30,,
186,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
187,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,10.0,,,Seedling,R,red_oak,Fern Station,10–30,,
188,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,20.0,,,Seedling,R,red_oak,Fern Station,10–30,,
189,,25,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,Browsed,25.0,,,Seedling,R,red_oak,Fern Station,10–30,,
190,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
191,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,Not browsed,15.0,,,Seedling,R,red_oak,Fern Station,10–30,,
