RowID,Diameter(cm),Height(cm),Date,Location,Species,Browsed,Coordinates,Notes,CanopyScore,Browsed_raw,Browsed_norm,height_cm,diam_cm,canopy_score,LifeStage,Species_code,oak_group,Site,browsed_bin,Date_parsed,height_class,coord_lat,coord_lon
19,,15,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,LITU,non-oak,Nature Park,,,10–29 cm,,
20,,20,8/?/24,W2,ACSA,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,ACSA,non-oak,Nature Park,,,10–29 cm,,
21,,10,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,10.0,,,Seedling,OSVI,non-oak,Nature Park,,,10–29 cm,,
22,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,10.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
23,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
24,,20,8/?/24,W2,ACSA,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,ACSA,non-oak,Nature Park,,,10–29 cm,,
25,,40,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,OSVI,non-oak,Nature Park,,,30–99 cm,,
26,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
27,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
28,,130,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,130.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
29,,140,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,140.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
30,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
31,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
32,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
33,,50,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,50.0,,,Seedling,OSVI,non-oak,Nature Park,,,30–99 cm,,
34,,50,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,50.0,,,Seedling,LITU,non-oak,Nature Park,,,30–99 cm,,
35,,40,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,LITU,non-oak,Nature Park,,,30–99 cm,,
36,,50,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,50.0,,,Seedling,LITU,non-oak,Nature Park,,,30–99 cm,,
37,,30,8/?/24,W2,ASCA,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,ASCA,non-oak,Nature Park,,,30–99 cm,,
38,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
39,,40,8/?/24,W2,TIAM,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,TIAM,non-oak,Nature Park,,,30–99 cm,,
40,,40,8/?/24,W2,QUMU,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,QUMU,white_oak,Nature Park,,,30–99 cm,,
41,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
42,,40,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
43,,40,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
44,,130,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,130.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
45,,600,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,600.0,,,Sapling,SAAL,non-oak,Nature Park,,,≥100 cm,,
46,,130,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,130.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
47,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
48,,60,8/?/24,W2,TIAM,Unknown,Unknown,|,,Unknown,,60.0,,,Seedling,TIAM,non-oak,Nature Park,,,30–99 cm,,
49,,40,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
50,,35,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,35.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
51,,180,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,180.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
52,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,10.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
53,,80,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,80.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
54,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
55,,50,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,50.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
56,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
57,,60,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,60.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
58,,30,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
59,,25,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,SAAL,non-oak,Nature Park,,,10–29 cm,,
60,,120,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,120.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
61,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
62,,60,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,60.0,,,Seedling,OSVI,non-oak,Nature Park,,,30–99 cm,,
63,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,OSVI,non-oak,Nature Park,,,≥100 cm,,
64,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
65,,15,8/?/24,W2,CECA,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,CECA,non-oak,Nature Park,,,10–29 cm,,
66,,30,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,OSVI,non-oak,Nature Park,,,30–99 cm,,
67,,40,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,,40.0,,,Seedling,OSVI,non-oak,Nature Park,,,30–99 cm,,
68,,25,8/?/24,W2,QUMU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QUMU,white_oak,Nature Park,,,10–29 cm,,
69,,40,8/?/24,W2,CECA,Unknown,Unknown, ↓ ,,Unknown,,40.0,,,Seedling,CECA,non-oak,Nature Park,,,30–99 cm,,
70,,20,8/?/24,W2,QURU,Unknown,Unknown,"Same transect, opposite side of trail",,Unknown,,20.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
71,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
72,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
73,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
74,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,10.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
75,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
76,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,10.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
77,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,10.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
78,,5,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,5.0,,,Seedling,QURU,red_oak,Nature Park,,,<10 cm,,
79,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
80,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
81,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
82,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
83,,30,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,QURU,red_oak,Nature Park,,,30–99 cm,,
84,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
85,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
86,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
87,,15,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,15.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
88,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
89,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
90,,20,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
91,,25,8/?/24,W2,QURU,Unknown,Unknown,↓,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
92,,30,?/?/24,?,R,B,Unknown,,,B,,30.0,,,Seedling,R,red_oak,Nature Park,,,30–99 cm,,
93,,20,?/?/24,?,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
94,,>200,?/?/25,?,R,B,Unknown,,,B,,,,,Unknown,R,red_oak,Nature Park,,,,,
95,,>200,?/?/24,?,R,B,Unknown,,,B,,,,,Unknown,R,red_oak,Nature Park,,,,,
96,,25,?/?/24,?,R,N,Unknown,,,N,,25.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
97,,30,?/?/24,?,R,B,Unknown,,,B,,30.0,,,Seedling,R,red_oak,Nature Park,,,30–99 cm,,
98,,10,?/?/24,?,R,B,Unknown,,,B,,10.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
99,,30,?/?/24,?,R,B,Unknown,,,B,,30.0,,,Seedling,R,red_oak,Nature Park,,,30–99 cm,,
100,,20,?/?/24,?,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
101,,5,?/?/24,?,R,N,Unknown,,,N,,5.0,,,Seedling,R,red_oak,Nature Park,,,<10 cm,,
102,,5,?/?/24,?,R,B,Unknown,,,B,,5.0,,,Seedling,R,red_oak,Nature Park,,,<10 cm,,
103,,15,?/?/24,?,R,B,Unknown,,,B,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
104,,15,?/?/24,?,R,B,Unknown,,,B,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
105,,15,?/?/24,?,R,B,Unknown,,,B,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
106,,15,?/?/24,?,R,B,Unknown,,,B,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
107,,20,?/?/24,?,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
108,,20,?/?/24,?,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
109,,15,?/?/24,?,R,N,Unknown,"""Across trail from end of last transect""",,N,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
110,,10,?/?/24,?,R,B,Unknown,|,,B,,10.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
111,,5,?/?/24,?,R,B,Unknown,|,,B,,5.0,,,Seedling,R,red_oak,Nature Park,,,<10 cm,,
112,,9,?/?/24,?,R,N,Unknown,|,,N,,9.0,,,Seedling,R,red_oak,Nature Park,,,<10 cm,,
113,,10,?/?/24,?,R,B,Unknown,|,,B,,10.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
114,,10,?/?/24,?,R,N,Unknown,|,,N,,10.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
115,,5,?/?/24,?,R,N,Unknown,↓,,N,,5.0,,,Seedling,R,red_oak,Nature Park,,,<10 cm,,
116,,50,?/?/24,?,QUVE,B,Unknown,"""QUVE Check""",,B,,50.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
117,,45,?/?/24,?,QUVE,N,Unknown,|,,N,,45.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
118,,50,?/?/24,?,QUVE,B,Unknown,|,,B,,50.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
119,,45,?/?/24,?,QUVE,N,Unknown,|,,N,,45.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
120,,35,?/?/24,?,QUVE,B,Unknown,|,,B,,35.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
121,,40,?/?/24,?,QUVE,B,Unknown,|,,B,,40.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
122,,35,?/?/24,?,QUVE,B,Unknown,|,,B,,35.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
123,,40,?/?/24,?,QUVE,B,Unknown,|,,B,,40.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
124,,45,?/?/24,?,QUVE,B,Unknown,|,,B,,45.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
125,,35,?/?/24,?,QUVE,B,Unknown,↓,,B,,35.0,,,Seedling,QUVE,red_oak,Nature Park,,,30–99 cm,,
126,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
127,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
128,,20,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
129,,15,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
130,,15,9/4/24?,Hillside East of W3,R,N,Unknown,,,N,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
131,,30,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,30.0,,,Seedling,R,red_oak,Nature Park,,,30–99 cm,,
132,,25,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,25.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
133,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
134,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
135,,15,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,15.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
136,,20,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,,10–29 cm,,
137,,30,9/4/24?,Hillside East of W3,R,B,Unknown,,,B,,30.0,,,Seedling,R,red_oak,Nature Park,,,30–99 cm,,
138,,20,2024-09-04 00:00:00,W4,R,N,Unknown,"Top of hill, N to S",,N,,20.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
139,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
140,,11,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,11.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
141,,21,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,21.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
142,,14,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,14.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
143,,3,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,3.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,<10 cm,,
144,,9,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,9.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,<10 cm,,
145,,20,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,20.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
146,,8,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,8.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,<10 cm,,
147,,17,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,17.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
148,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,12.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
149,,12,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,12.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
150,,20,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,20.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
151,,11,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,11.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
152,,14,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,14.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
153,,17,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,17.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
154,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
155,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,10.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
156,,17,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,17.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
157,,13,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,13.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
158,,20,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,20.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
159,,25,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,25.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
160,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,10.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
161,,18,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,18.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
162,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,12.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
163,,12,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,12.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
164,,10,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,10.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
165,,10,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,10.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
166,,14,2024-09-04 00:00:00,W4,R,B,Unknown,,,B,,14.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
167,,15,2024-09-04 00:00:00,W4,R,N,Unknown,,,N,,15.0,,,Seedling,R,red_oak,Nature Park,,2024-09-04,10–29 cm,,
168,,10,2024-09-15 00:00:00,Fern Station,W,N,Unknown,Transect 1,,N,,10.0,,,Seedling,W,white_oak,Fern Station,,2024-09-15,10–29 cm,,
169,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,15.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
170,,7,2024-09-15 00:00:00,Fern Station,W,N,Unknown,|,,N,,7.0,,,Seedling,W,white_oak,Fern Station,,2024-09-15,<10 cm,,
171,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,10.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
172,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,15.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
173,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,20.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
174,,18,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,,18.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
175,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,15.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
176,,15,2024-09-15 00:00:00,Fern Station,W,N,Unknown,|,,N,,15.0,,,Seedling,W,white_oak,Fern Station,,2024-09-15,10–29 cm,,
177,,10,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,,10.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
178,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,10.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
179,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,10.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
180,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,20.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
181,,15,2024-09-15 00:00:00,Fern Station,R,B,Unknown,|,,B,,15.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
182,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,10.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
183,,10,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,10.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
184,,15,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,15.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
185,,20,2024-09-15 00:00:00,Fern Station,R,N,Unknown,|,,N,,20.0,,,Seedling,R,red_oak,Fern Station,,2024-09-15,10–29 cm,,
